file,display_name,corpus,operation_name,error,timestamp
/app/archive/역사기록/2000/20051111_2005 순천지구 홈커밍데이/metadata_20051111_2005 순천지구 홈커밍데이.json,metadata_20051111_2005 순천지구 홈커밍데이.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.875687
/app/archive/역사기록/2000/20050627_2005 전국 대학생 여름수련회/metadata_20050627_2005 전국 대학생 여름수련회.json,metadata_20050627_2005 전국 대학생 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.881113
/app/archive/역사기록/2000/20050700_2005 여름 단기선교/metadata_20050700_2005 여름 단기선교.json,metadata_20050700_2005 여름 단기선교.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.915984
/app/archive/역사기록/2000/20060429_2006 전국 대학생 여름수련회를 위한 여호수아 기도회/metadata_20060429_2006 전국 대학생 여름수련회를 위한 여호수아 기도회.json,metadata_20060429_2006 전국 대학생 여름수련회를 위한 여호수아 기도회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.932967
/app/archive/역사기록/2000/20051124_2005 CCC 워십 페스티발/metadata_20051124_2005 CCC 워십 페스티발.json,metadata_20051124_2005 CCC 워십 페스티발.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.934037
/app/archive/역사기록/2000/20060806_GCTC 26기 수료/metadata_20060806_GCTC 26기 수료.json,metadata_20060806_GCTC 26기 수료.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.942136
/app/archive/역사기록/2000/20061226_2007 대학생 원단금식수련회/metadata_20061226_2007 대학생 원단금식수련회.json,metadata_20061226_2007 대학생 원단금식수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.964047
/app/archive/역사기록/2000/20070806_2007 전국 청소년 여름수련회/metadata_20070806_2007 전국 청소년 여름수련회.json,metadata_20070806_2007 전국 청소년 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.989549
/app/archive/역사기록/2000/20071220_2007 본부 간사가족 성탄축하의 밤/metadata_20071220_2007 본부 간사가족 성탄축하의 밤.json,metadata_20071220_2007 본부 간사가족 성탄축하의 밤.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:30.998664
/app/archive/역사기록/2000/20070100_2007 겨울 단기선교/metadata_20070100_2007 겨울 단기선교.json,metadata_20070100_2007 겨울 단기선교.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.010186
/app/archive/역사기록/2000/20060626_2006 전국 대학생 여름수련회/metadata_20060626_2006 전국 대학생 여름수련회.json,metadata_20060626_2006 전국 대학생 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.014235
/app/archive/역사기록/2000/20080100_2008 겨울 단기선교/metadata_20080100_2008 겨울 단기선교.json,metadata_20080100_2008 겨울 단기선교.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.198445
/app/archive/역사기록/2000/20080220_2008 제1회 간사자녀캠프/metadata_20080220_2008 제1회 간사자녀캠프.json,metadata_20080220_2008 제1회 간사자녀캠프.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.200654
/app/archive/역사기록/2000/20071226_2008 대학생 원단금식수련회/metadata_20071226_2008 대학생 원단금식수련회.json,metadata_20071226_2008 대학생 원단금식수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.201527
/app/archive/역사기록/2000/20080814_2008 전국 나사렛 여름수련회/metadata_20080814_2008 전국 나사렛 여름수련회.json,metadata_20080814_2008 전국 나사렛 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.256502
/app/archive/역사기록/2000/20080823_GCTC 28기 수료/metadata_20080823_GCTC 28기 수료.json,metadata_20080823_GCTC 28기 수료.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.262219
/app/archive/역사기록/2000/20080414_한국CCC 창립 50주년 성지 순례/metadata_20080414_한국CCC 창립 50주년 성지 순례.json,metadata_20080414_한국CCC 창립 50주년 성지 순례.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.331239
/app/archive/역사기록/2000/20070702_CM2007(세계 청년대학생 지도자 수련회)/metadata_20070702_CM2007(세계 청년대학생 지도자 수련회).json,metadata_20070702_CM2007(세계 청년대학생 지도자 수련회).json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.408940
/app/archive/역사기록/2000/20081023_2008 한국독립교회 선교단체연합회 목사안수식/metadata_20081023_2008 한국독립교회 선교단체연합회 목사안수식.json,metadata_20081023_2008 한국독립교회 선교단체연합회 목사안수식.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.456163
/app/archive/역사기록/2000/20080825_2008 전국 간사가족 수련회/metadata_20080825_2008 전국 간사가족 수련회.json,metadata_20080825_2008 전국 간사가족 수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.461305
/app/archive/역사기록/2000/20081222_2008 대학생 통일봉사단 사랑의 연탄 나누기/metadata_20081222_2008 대학생 통일봉사단 사랑의 연탄 나누기.json,metadata_20081222_2008 대학생 통일봉사단 사랑의 연탄 나누기.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.470213
/app/archive/역사기록/2000/20081101_한국CCC 창립 50주년 감사예배/metadata_20081101_한국CCC 창립 50주년 감사예배.json,metadata_20081101_한국CCC 창립 50주년 감사예배.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.471175
/app/archive/역사기록/2000/20081222_2008 본부 간사가족 성탄축하의 밤/metadata_20081222_2008 본부 간사가족 성탄축하의 밤.json,metadata_20081222_2008 본부 간사가족 성탄축하의 밤.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.478563
/app/archive/역사기록/2000/20080701_2008 러브제주/metadata_20080701_2008 러브제주.json,metadata_20080701_2008 러브제주.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.513925
/app/archive/역사기록/2000/20090413_2009 캠퍼스간사 수련회/metadata_20090413_2009 캠퍼스간사 수련회.json,metadata_20090413_2009 캠퍼스간사 수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.527638
/app/archive/역사기록/2000/20090425_2009 전국 대학생 여름수련회를 위한 여호수아 기도회/metadata_20090425_2009 전국 대학생 여름수련회를 위한 여호수아 기도회.json,metadata_20090425_2009 전국 대학생 여름수련회를 위한 여호수아 기도회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.533628
/app/archive/역사기록/2000/20090100_2009 겨울 단기선교/metadata_20090100_2009 겨울 단기선교.json,metadata_20090100_2009 겨울 단기선교.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.536999
/app/archive/역사기록/2000/20090803_2009 전국 청소년 여름수련회/metadata_20090803_2009 전국 청소년 여름수련회.json,metadata_20090803_2009 전국 청소년 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.582273
/app/archive/역사기록/2000/20090629_2009 전국 대학생 여름수련회/metadata_20090629_2009 전국 대학생 여름수련회.json,metadata_20090629_2009 전국 대학생 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.582704
/app/archive/역사기록/2000/20081228_2009 대학생 원단금식수련회/metadata_20081228_2009 대학생 원단금식수련회.json,metadata_20081228_2009 대학생 원단금식수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.620164
/app/archive/역사기록/2000/20091107_2009 전주지구 홈커밍데이 50주년/metadata_20091107_2009 전주지구 홈커밍데이 50주년.json,metadata_20091107_2009 전주지구 홈커밍데이 50주년.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.631105
/app/archive/역사기록/2000/20091228_2010 대학생 원단금식수련회/metadata_20091228_2010 대학생 원단금식수련회.json,metadata_20091228_2010 대학생 원단금식수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.631479
/app/archive/역사기록/2000/20090700_2009 여름 단기선교/metadata_20090700_2009 여름 단기선교.json,metadata_20090700_2009 여름 단기선교.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.640581
/app/archive/역사기록/2000/20091002_유성 김준곤 목사 장례예배/metadata_20091002_유성 김준곤 목사 장례예배.json,metadata_20091002_유성 김준곤 목사 장례예배.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.641528
/app/archive/역사기록/2010/20100501_2010 전국 대학생 여름수련회를 위한 여호수아 기도회/metadata_20100501_2010 전국 대학생 여름수련회를 위한 여호수아 기도회.json,metadata_20100501_2010 전국 대학생 여름수련회를 위한 여호수아 기도회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.665297
/app/archive/역사기록/2010/20100210_2010 찬양 자비량 06기 수료/metadata_20100210_2010 찬양 자비량 06기 수료.json,metadata_20100210_2010 찬양 자비량 06기 수료.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.668112
/app/archive/역사기록/2010/20100515_김준곤 목사 묘비 제막/metadata_20100515_김준곤 목사 묘비 제막.json,metadata_20100515_김준곤 목사 묘비 제막.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.670294
/app/archive/역사기록/2010/20100100_2010 겨울 단기선교/metadata_20100100_2010 겨울 단기선교.json,metadata_20100100_2010 겨울 단기선교.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.681494
/app/archive/역사기록/2010/20100929_유성 김준곤 목사 1주기 추모예배/metadata_20100929_유성 김준곤 목사 1주기 추모예배.json,metadata_20100929_유성 김준곤 목사 1주기 추모예배.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.774711
/app/archive/역사기록/2010/20100700_2010 여름 단기선교/metadata_20100700_2010 여름 단기선교.json,metadata_20100700_2010 여름 단기선교.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.786706
/app/archive/역사기록/2010/20101222_2010 대학생 통일봉사단 사랑의 연탄 나누기/metadata_20101222_2010 대학생 통일봉사단 사랑의 연탄 나누기.json,metadata_20101222_2010 대학생 통일봉사단 사랑의 연탄 나누기.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.821158
/app/archive/역사기록/2010/20101030_CCC 역사 비전관 및 민족복음화 전략센터 개관/metadata_20101030_CCC 역사 비전관 및 민족복음화 전략센터 개관.json,metadata_20101030_CCC 역사 비전관 및 민족복음화 전략센터 개관.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.830551
/app/archive/역사기록/2010/20101227_2011 대학생 원단금식수련회/metadata_20101227_2011 대학생 원단금식수련회.json,metadata_20101227_2011 대학생 원단금식수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.837140
/app/archive/역사기록/2010/20110615_2011 GAiN Korea 일본 지진 피해 돕기 성금 전달/metadata_20110615_2011 GAiN Korea 일본 지진 피해 돕기 성금 전달.json,metadata_20110615_2011 GAiN Korea 일본 지진 피해 돕기 성금 전달.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.848957
/app/archive/역사기록/2010/20110700_2011 여름 단기선교/metadata_20110700_2011 여름 단기선교.json,metadata_20110700_2011 여름 단기선교.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.881576
/app/archive/역사기록/2010/20111128_2011 가정선교원 아름다운 만남을 위한 데이팅 강사 세미나/metadata_20111128_2011 가정선교원 아름다운 만남을 위한 데이팅 강사 세미나.json,metadata_20111128_2011 가정선교원 아름다운 만남을 위한 데이팅 강사 세미나.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.890791
/app/archive/역사기록/2010/20111205_2011 커뮤니티간사 수련회/metadata_20111205_2011 커뮤니티간사 수련회.json,metadata_20111205_2011 커뮤니티간사 수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.904622
/app/archive/역사기록/2010/20100802_2010 전국 청소년 여름수련회/metadata_20100802_2010 전국 청소년 여름수련회.json,metadata_20100802_2010 전국 청소년 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.910098
/app/archive/역사기록/2010/20120102_2012 서울지구 21기 기드온 순장훈련/metadata_20120102_2012 서울지구 21기 기드온 순장훈련.json,metadata_20120102_2012 서울지구 21기 기드온 순장훈련.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.926529
/app/archive/역사기록/2010/20120116_2012 CCC 영상 캠프/metadata_20120116_2012 CCC 영상 캠프.json,metadata_20120116_2012 CCC 영상 캠프.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.931023
/app/archive/역사기록/2010/20120130_2012 A6 프로젝트 01기 사역팀 합숙 훈련/metadata_20120130_2012 A6 프로젝트 01기 사역팀 합숙 훈련.json,metadata_20120130_2012 A6 프로젝트 01기 사역팀 합숙 훈련.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.946305
/app/archive/역사기록/2010/20111226_2012 대학생 원단금식수련회/metadata_20111226_2012 대학생 원단금식수련회.json,metadata_20111226_2012 대학생 원단금식수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.947844
/app/archive/역사기록/2010/20120221_2012 대학생 통일봉사단 위탁교육/metadata_20120221_2012 대학생 통일봉사단 위탁교육.json,metadata_20120221_2012 대학생 통일봉사단 위탁교육.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.965768
/app/archive/역사기록/2010/20110627_2011 전국 대학생 여름수련회/metadata_20110627_2011 전국 대학생 여름수련회.json,metadata_20110627_2011 전국 대학생 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.973685
/app/archive/역사기록/2010/20120222_2012 가정선교원 가정사역 세미나 in 스리랑카/metadata_20120222_2012 가정선교원 가정사역 세미나 in 스리랑카.json,metadata_20120222_2012 가정선교원 가정사역 세미나 in 스리랑카.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.979464
/app/archive/역사기록/2010/20120301_2012 A6 프로젝트 01기/metadata_20120301_2012 A6 프로젝트 01기.json,metadata_20120301_2012 A6 프로젝트 01기.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.979577
/app/archive/역사기록/2010/20120330_2012 서울지구 여우사이/metadata_20120330_2012 서울지구 여우사이.json,metadata_20120330_2012 서울지구 여우사이.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:31.985156
/app/archive/역사기록/2010/20120506_2012 동아시아 오리엔트CCC 국가대표자 회의/metadata_20120506_2012 동아시아 오리엔트CCC 국가대표자 회의.json,metadata_20120506_2012 동아시아 오리엔트CCC 국가대표자 회의.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:32.009729
/app/archive/역사기록/2010/20120428_2012 전국 대학생 여름수련회를 위한 여호수아 기도회/metadata_20120428_2012 전국 대학생 여름수련회를 위한 여호수아 기도회.json,metadata_20120428_2012 전국 대학생 여름수련회를 위한 여호수아 기도회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:32.015685
/app/archive/역사기록/2010/20120730_2012 선교한국/metadata_20120730_2012 선교한국.json,metadata_20120730_2012 선교한국.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:32.072226
/app/archive/역사기록/2010/20120806_2012 전국 청소년 여름수련회/metadata_20120806_2012 전국 청소년 여름수련회.json,metadata_20120806_2012 전국 청소년 여름수련회.json,fileSearchStores/ccc-sp39ygty7ddk,,HTTP 500: Internal Server Error,2025-12-10T07:13:32.073547
